MSOA code,MSOA name,LA code,LA name,reception sample size,reception obesity number,reception obesity prevalence(%),lower CI,upper CI,,year 6 sample size ,year 6 obesity number,year 6 obesity prevalence,lower CI 2,upper CI 2,,,,,,,all,suburban,urban
E02000777,Redbridge 027,E09000026,Redbridge,199,15,7.50%,4.60%,12.10%,,188,30,16.00%,11.40%,21.90%,,,,,,,,,
E02000779,Redbridge 029,E09000026,Redbridge,358,37,10.30%,7.60%,13.90%,,216,56,25.90%,20.50%,32.20%,,,,,,,,,
E02000780,Redbridge 030,E09000026,Redbridge,759,83,10.90%,8.90%,13.40%,,594,124,20.90%,17.80%,24.30%,,,,,,,,,
E02000781,Redbridge 031,E09000026,Redbridge,586,74,12.60%,10.20%,15.60%,,558,129,23.10%,19.80%,26.80%,,,,,,,,,
E02000782,Redbridge 032,E09000026,Redbridge,476,52,10.90%,8.40%,14.00%,,383,103,26.90%,22.70%,31.50%,,,,,,,,,
E02000783,Redbridge 033,E09000026,Redbridge,353,46,13.00%,9.90%,16.90%,,325,79,24.30%,20.00%,29.30%,,,,,,,,,
E02006800,Redbridge 034,E09000026,Redbridge,591,77,13.00%,10.60%,16.00%,,489,110,22.50%,19.00%,26.40%,,,,,,,,,
E02006924,Redbridge 035,E09000026,Redbridge,500,61,12.20%,9.60%,15.40%,,402,75,18.70%,15.20%,22.80%,,,,,,,,,
E02006925,Redbridge 036,E09000026,Redbridge,420,29,6.90%,4.90%,9.70%,,566,131,23.10%,19.90%,26.80%,,,,,,,,,
E02000784,Richmond upon Thames 001,E09000027,Richmond upon Thames,166,8,4.80%,2.50%,9.20%,,116,17,14.70%,9.40%,22.20%,,,,,,,,,
E02000785,Richmond upon Thames 002,E09000027,Richmond upon Thames,216,10,4.60%,2.50%,8.30%,,140,10,7.10%,3.90%,12.60%,,,,,,,,,
E02000786,Richmond upon Thames 003,E09000027,Richmond upon Thames,398,21,5.30%,3.50%,7.90%,,203,23,11.30%,7.70%,16.40%,,,,,,,,,
E02000787,Richmond upon Thames 004,E09000027,Richmond upon Thames,366,16,4.40%,2.70%,7.00%,,263,38,14.40%,10.70%,19.20%,,,,,,,,,
E02000788,Richmond upon Thames 005,E09000027,Richmond upon Thames,356,17,4.80%,3.00%,7.50%,,215,20,9.30%,6.10%,13.90%,,,,,,,,,
E02000789,Richmond upon Thames 006,E09000027,Richmond upon Thames,170,9,5.30%,2.80%,9.80%,,97,13,13.40%,8.00%,21.60%,,,,,,,,,
E02000790,Richmond upon Thames 007,E09000027,Richmond upon Thames,234,7,3.00%,1.50%,6.00%,,135,11,8.10%,4.60%,14.00%,,,,,,,,,
E02000791,Richmond upon Thames 008,E09000027,Richmond upon Thames,125,6,4.80%,2.20%,10.10%,,66,s,s,s,s,,,,,,,,,
E02000792,Richmond upon Thames 009,E09000027,Richmond upon Thames,180,7,3.90%,1.90%,7.80%,,132,s,s,s,s,,,,,,,,,
E02000793,Richmond upon Thames 010,E09000027,Richmond upon Thames,275,28,10.20%,7.10%,14.30%,,228,34,14.90%,10.90%,20.10%,,,,,,,,,
E02000794,Richmond upon Thames 011,E09000027,Richmond upon Thames,247,13,5.30%,3.10%,8.80%,,170,18,10.60%,6.80%,16.10%,,,,,,,,,
E02000795,Richmond upon Thames 012,E09000027,Richmond upon Thames,191,6,3.10%,1.40%,6.70%,,142,13,9.20%,5.40%,15.00%,,,,,,,,,
E02000796,Richmond upon Thames 013,E09000027,Richmond upon Thames,365,35,9.60%,7.00%,13.00%,,323,61,18.90%,15.00%,23.50%,,,,,,,,,
E02000797,Richmond upon Thames 014,E09000027,Richmond upon Thames,245,10,4.10%,2.20%,7.30%,,120,17,14.20%,9.00%,21.50%,,,,,,,,,
E02000798,Richmond upon Thames 015,E09000027,Richmond upon Thames,455,24,5.30%,3.60%,7.70%,,361,39,10.80%,8.00%,14.40%,,,,,,,,,
E02000799,Richmond upon Thames 016,E09000027,Richmond upon Thames,165,10,6.10%,3.30%,10.80%,,140,8,5.70%,2.90%,10.90%,,,,,,,,,
E02000800,Richmond upon Thames 017,E09000027,Richmond upon Thames,178,10,5.60%,3.10%,10.00%,,155,21,13.50%,9.00%,19.80%,,,,,,,,,
E02000801,Richmond upon Thames 018,E09000027,Richmond upon Thames,254,13,5.10%,3.00%,8.60%,,157,15,9.60%,5.90%,15.20%,,,,,,,,,
E02000802,Richmond upon Thames 019,E09000027,Richmond upon Thames,250,16,6.40%,4.00%,10.10%,,183,13,7.10%,4.20%,11.80%,,,,,,,,,
E02000803,Richmond upon Thames 020,E09000027,Richmond upon Thames,296,23,7.80%,5.20%,11.40%,,233,46,19.70%,15.10%,25.30%,,,,,,,,,
E02000804,Richmond upon Thames 021,E09000027,Richmond upon Thames,249,19,7.60%,4.90%,11.60%,,192,12,6.30%,3.60%,10.60%,,,,,,,,,
E02000805,Richmond upon Thames 022,E09000027,Richmond upon Thames,393,25,6.40%,4.30%,9.20%,,276,28,10.10%,7.10%,14.30%,,,,,,,,,
E02000806,Richmond upon Thames 023,E09000027,Richmond upon Thames,342,18,5.30%,3.40%,8.20%,,192,28,14.60%,10.30%,20.30%,,,,,,,,,
E02000807,Southwark 001,E09000028,Southwark,149,14,9.40%,5.70%,15.20%,,107,21,19.60%,13.20%,28.10%,,,,,,,,,
E02000808,Southwark 002,E09000028,Southwark,169,22,13.00%,8.80%,18.90%,,107,19,17.80%,11.70%,26.10%,,,,,,,,,
E02000809,Southwark 003,E09000028,Southwark,135,20,14.80%,9.80%,21.80%,,127,33,26.00%,19.10%,34.20%,,,,,,,,,
E02000810,Southwark 004,E09000028,Southwark,261,28,10.70%,7.50%,15.10%,,218,60,27.50%,22.00%,33.80%,,,,,,,,,
E02000812,Southwark 006,E09000028,Southwark,234,29,12.40%,8.80%,17.20%,,224,50,22.30%,17.40%,28.20%,,,,,,,,,
E02000813,Southwark 007,E09000028,Southwark,286,29,10.10%,7.20%,14.20%,,198,60,30.30%,24.30%,37.00%,,,,,,,,,
E02000814,Southwark 008,E09000028,Southwark,126,10,7.90%,4.40%,14.00%,,119,32,26.90%,19.70%,35.50%,,,,,,,,,
E02000815,Southwark 009,E09000028,Southwark,171,21,12.30%,8.20%,18.00%,,106,24,22.60%,15.70%,31.50%,,,,,,,,,
E02000816,Southwark 010,E09000028,Southwark,271,35,12.90%,9.40%,17.40%,,205,53,25.90%,20.30%,32.30%,,,,,,,,,
E02000817,Southwark 011,E09000028,Southwark,214,26,12.10%,8.40%,17.20%,,169,57,33.70%,27.00%,41.10%,,,,,,,,,
E02000818,Southwark 012,E09000028,Southwark,203,37,18.20%,13.50%,24.10%,,185,67,36.20%,29.60%,43.40%,,,,,,,,,
E02000819,Southwark 013,E09000028,Southwark,230,24,10.40%,7.10%,15.10%,,231,77,33.30%,27.60%,39.60%,,,,,,,,,
E02000820,Southwark 014,E09000028,Southwark,217,28,12.90%,9.10%,18.00%,,212,54,25.50%,20.10%,31.70%,,,,,,,,,
E02000821,Southwark 015,E09000028,Southwark,336,58,17.30%,13.60%,21.70%,,292,96,32.90%,27.70%,38.50%,,,,,,,,,
E02000822,Southwark 016,E09000028,Southwark,336,68,20.20%,16.30%,24.90%,,238,69,29.00%,23.60%,35.10%,,,,,,,,,
E02000823,Southwark 017,E09000028,Southwark,248,35,14.10%,10.30%,19.00%,,217,66,30.40%,24.70%,36.80%,,,,,,,,,
E02000824,Southwark 018,E09000028,Southwark,343,47,13.70%,10.50%,17.70%,,359,104,29.00%,24.50%,33.90%,,,,,,,,,
E02000825,Southwark 019,E09000028,Southwark,340,52,15.30%,11.90%,19.50%,,329,96,29.20%,24.50%,34.30%,,,,,,,,,
E02000826,Southwark 020,E09000028,Southwark,281,44,15.70%,11.90%,20.40%,,263,75,28.50%,23.40%,34.30%,,,,,,,,,
E02000827,Southwark 021,E09000028,Southwark,389,61,15.70%,12.40%,19.60%,,331,102,30.80%,26.10%,36.00%,,,,,,,,,
E02000828,Southwark 022,E09000028,Southwark,288,52,18.10%,14.00%,22.90%,,262,88,33.60%,28.10%,39.50%,,,,,,,,,
E02000829,Southwark 023,E09000028,Southwark,344,56,16.30%,12.80%,20.50%,,267,70,26.20%,21.30%,31.80%,,,,,,,,,
E02000830,Southwark 024,E09000028,Southwark,201,15,7.50%,4.60%,11.90%,,143,34,23.80%,17.50%,31.40%,,,,,,,,,
E02000831,Southwark 025,E09000028,Southwark,242,26,10.70%,7.40%,15.30%,,194,52,26.80%,21.10%,33.40%,,,,,,,,,
E02000832,Southwark 026,E09000028,Southwark,341,51,15.00%,11.60%,19.10%,,307,83,27.00%,22.40%,32.30%,,,,,,,,,
E02000833,Southwark 027,E09000028,Southwark,256,27,10.50%,7.40%,14.90%,,189,53,28.00%,22.10%,34.80%,,,,,,,,,
E02000834,Southwark 028,E09000028,Southwark,178,13,7.30%,4.30%,12.10%,,131,24,18.30%,12.60%,25.80%,,,,,,,,,
E02000835,Southwark 029,E09000028,Southwark,302,21,7.00%,4.60%,10.40%,,198,44,22.20%,17.00%,28.50%,,,,,,,,,
E02000836,Southwark 030,E09000028,Southwark,244,13,5.30%,3.10%,8.90%,,189,27,14.30%,10.00%,20.00%,,,,,,,,,
E02000837,Southwark 031,E09000028,Southwark,246,16,6.50%,4.00%,10.30%,,181,23,12.70%,8.60%,18.30%,,,,,,,,,
E02000838,Southwark 032,E09000028,Southwark,231,24,10.40%,7.10%,15.00%,,219,39,17.80%,13.30%,23.40%,,,,,,,,,
E02000839,Southwark 033,E09000028,Southwark,224,32,14.30%,10.30%,19.50%,,154,45,29.20%,22.60%,36.80%,,,,,,,,,
E02006802,Southwark 034,E09000028,Southwark,165,19,11.50%,7.50%,17.30%,,154,38,24.70%,18.50%,32.00%,,,,,,,,,
E02000840,Sutton 001,E09000029,Sutton,371,41,11.10%,8.30%,14.60%,,308,71,23.10%,18.70%,28.10%,,,,,,,,,
E02000841,Sutton 002,E09000029,Sutton,377,41,10.90%,8.10%,14.40%,,344,88,25.60%,21.30%,30.40%,,,,,,,,,
E02000842,Sutton 003,E09000029,Sutton,226,18,8.00%,5.10%,12.20%,,251,54,21.50%,16.90%,27.00%,,,,,,,,,
E02000843,Sutton 004,E09000029,Sutton,314,23,7.30%,4.90%,10.80%,,168,41,24.40%,18.50%,31.40%,,,,,,,,,
E02000844,Sutton 005,E09000029,Sutton,316,35,11.10%,8.10%,15.00%,,287,74,25.80%,21.10%,31.10%,,,,,,,,,
E02000845,Sutton 006,E09000029,Sutton,385,26,6.80%,4.60%,9.70%,,268,32,11.90%,8.60%,16.40%,,,,,,,,,
E02000846,Sutton 007,E09000029,Sutton,263,20,7.60%,5.00%,11.50%,,219,42,19.20%,14.50%,24.90%,,,,,,,,,
E02000847,Sutton 008,E09000029,Sutton,254,17,6.70%,4.20%,10.50%,,247,42,17.00%,12.80%,22.20%,,,,,,,,,
E02000848,Sutton 009,E09000029,Sutton,276,22,8.00%,5.30%,11.80%,,310,50,16.10%,12.50%,20.60%,,,,,,,,,
E02000849,Sutton 010,E09000029,Sutton,303,21,6.90%,4.60%,10.40%,,218,36,16.50%,12.20%,22.00%,,,,,,,,,
E02000850,Sutton 011,E09000029,Sutton,363,23,6.30%,4.30%,9.30%,,343,70,20.40%,16.50%,25.00%,,,,,,,,,
E02000851,Sutton 012,E09000029,Sutton,314,30,9.60%,6.80%,13.30%,,214,48,22.40%,17.40%,28.50%,,,,,,,,,
E02000852,Sutton 013,E09000029,Sutton,273,24,8.80%,6.00%,12.70%,,206,32,15.50%,11.20%,21.10%,,,,,,,,,
E02000853,Sutton 014,E09000029,Sutton,292,25,8.60%,5.90%,12.30%,,227,43,18.90%,14.40%,24.50%,,,,,,,,,
E02000854,Sutton 015,E09000029,Sutton,255,15,5.90%,3.60%,9.50%,,194,27,13.90%,9.70%,19.50%,,,,,,,,,
E02000855,Sutton 016,E09000029,Sutton,223,15,6.70%,4.10%,10.80%,,245,35,14.30%,10.50%,19.20%,,,,,,,,,
E02000856,Sutton 017,E09000029,Sutton,275,17,6.20%,3.90%,9.70%,,217,35,16.10%,11.80%,21.60%,,,,,,,,,
E02000857,Sutton 018,E09000029,Sutton,257,23,8.90%,6.00%,13.10%,,142,26,18.30%,12.80%,25.50%,,,,,,,,,
E02000858,Sutton 019,E09000029,Sutton,340,33,9.70%,7.00%,13.30%,,304,76,25.00%,20.50%,30.20%,,,,,,,,,
E02000859,Sutton 020,E09000029,Sutton,278,23,8.30%,5.60%,12.10%,,184,40,21.70%,16.40%,28.20%,,,,,,,,,
E02000860,Sutton 021,E09000029,Sutton,259,28,10.80%,7.60%,15.20%,,166,33,19.90%,14.50%,26.60%,,,,,,,,,
E02000861,Sutton 022,E09000029,Sutton,194,8,4.10%,2.10%,7.90%,,178,25,14.00%,9.70%,19.90%,,,,,,,,,
E02000863,Sutton 024,E09000029,Sutton,164,11,6.70%,3.80%,11.60%,,156,26,16.70%,11.60%,23.30%,,,,,,,,,
E02006836,Sutton 025,E09000029,Sutton,232,15,6.50%,4.00%,10.40%,,178,24,13.50%,9.20%,19.30%,,,,,,,,,
E02000864,Tower Hamlets 001,E09000030,Tower Hamlets,280,40,14.30%,10.70%,18.90%,,244,69,28.30%,23.00%,34.20%,,,,,,,,,
E02000865,Tower Hamlets 002,E09000030,Tower Hamlets,263,38,14.40%,10.70%,19.20%,,245,66,26.90%,21.80%,32.80%,,,,,,,,,
E02000866,Tower Hamlets 003,E09000030,Tower Hamlets,256,32,12.50%,9.00%,17.10%,,229,47,20.50%,15.80%,26.20%,,,,,,,,,
E02000867,Tower Hamlets 004,E09000030,Tower Hamlets,304,34,11.20%,8.10%,15.20%,,252,57,22.60%,17.90%,28.20%,,,,,,,,,
E02000868,Tower Hamlets 005,E09000030,Tower Hamlets,181,34,18.80%,13.80%,25.10%,,178,46,25.80%,20.00%,32.70%,,,,,,,,,
E02000869,Tower Hamlets 006,E09000030,Tower Hamlets,167,31,18.60%,13.40%,25.10%,,138,35,25.40%,18.80%,33.20%,,,,,,,,,
E02000870,Tower Hamlets 007,E09000030,Tower Hamlets,213,33,15.50%,11.20%,21.00%,,189,45,23.80%,18.30%,30.40%,,,,,,,,,
E02000871,Tower Hamlets 008,E09000030,Tower Hamlets,483,66,13.70%,10.90%,17.00%,,380,98,25.80%,21.60%,30.40%,,,,,,,,,
E02000872,Tower Hamlets 009,E09000030,Tower Hamlets,215,25,11.60%,8.00%,16.60%,,202,57,28.20%,22.50%,34.80%,,,,,,,,,
E02000873,Tower Hamlets 010,E09000030,Tower Hamlets,307,41,13.40%,10.00%,17.60%,,249,54,21.70%,17.00%,27.20%,,,,,,,,,
E02000874,Tower Hamlets 011,E09000030,Tower Hamlets,254,31,12.20%,8.70%,16.80%,,239,62,25.90%,20.80%,31.80%,,,,,,,,,
E02000875,Tower Hamlets 012,E09000030,Tower Hamlets,457,51,11.20%,8.60%,14.40%,,429,106,24.70%,20.90%,29.00%,,,,,,,,,
E02000876,Tower Hamlets 013,E09000030,Tower Hamlets,225,33,14.70%,10.60%,19.90%,,186,47,25.30%,19.60%,32.00%,,,,,,,,,
E02000877,Tower Hamlets 014,E09000030,Tower Hamlets,467,61,13.10%,10.30%,16.40%,,415,129,31.10%,26.80%,35.70%,,,,,,,,,
E02000878,Tower Hamlets 015,E09000030,Tower Hamlets,219,31,14.20%,10.20%,19.40%,,239,58,24.30%,19.30%,30.10%,,,,,,,,,
E02000879,Tower Hamlets 016,E09000030,Tower Hamlets,272,40,14.70%,11.00%,19.40%,,250,58,23.20%,18.40%,28.80%,,,,,,,,,
E02000880,Tower Hamlets 017,E09000030,Tower Hamlets,253,29,11.50%,8.10%,16.00%,,193,56,29.00%,23.10%,35.80%,,,,,,,,,
E02000881,Tower Hamlets 018,E09000030,Tower Hamlets,359,48,13.40%,10.20%,17.30%,,360,91,25.30%,21.10%,30.00%,,,,,,,,,
E02000882,Tower Hamlets 019,E09000030,Tower Hamlets,387,45,11.60%,8.80%,15.20%,,360,100,27.80%,23.40%,32.60%,,,,,,,,,
E02000883,Tower Hamlets 020,E09000030,Tower Hamlets,435,54,12.40%,9.60%,15.80%,,349,83,23.80%,19.60%,28.50%,,,,,,,,,
E02000884,Tower Hamlets 021,E09000030,Tower Hamlets,285,35,12.30%,9.00%,16.60%,,214,54,25.20%,19.90%,31.50%,,,,,,,,,
E02000885,Tower Hamlets 022,E09000030,Tower Hamlets,280,50,17.90%,13.80%,22.80%,,257,67,26.10%,21.10%,31.80%,,,,,,,,,
E02000886,Tower Hamlets 023,E09000030,Tower Hamlets,210,25,11.90%,8.20%,17.00%,,173,44,25.40%,19.50%,32.40%,,,,,,,,,
E02000887,Tower Hamlets 024,E09000030,Tower Hamlets,381,44,11.50%,8.70%,15.10%,,355,96,27.00%,22.70%,31.90%,,,,,,,,,
E02000888,Tower Hamlets 025,E09000030,Tower Hamlets,310,34,11.00%,8.00%,14.90%,,240,66,27.50%,22.20%,33.50%,,,,,,,,,
E02000889,Tower Hamlets 026,E09000030,Tower Hamlets,267,31,11.60%,8.30%,16.00%,,151,29,19.20%,13.70%,26.20%,,,,,,,,,
E02000890,Tower Hamlets 027,E09000030,Tower Hamlets,84,10,11.90%,6.60%,20.50%,,54,6,11.10%,5.20%,22.20%,,,,,,,,,
E02000891,Tower Hamlets 028,E09000030,Tower Hamlets,367,48,13.10%,10.00%,16.90%,,277,71,25.60%,20.80%,31.10%,,,,,,,,,
E02000893,Tower Hamlets 030,E09000030,Tower Hamlets,241,19,7.90%,5.10%,12.00%,,173,47,27.20%,21.10%,34.20%,,,,,,,,,
E02000894,Tower Hamlets 031,E09000030,Tower Hamlets,237,19,8.00%,5.20%,12.20%,,152,40,26.30%,20.00%,33.80%,,,,,,,,,
E02006853,Tower Hamlets 032,E09000030,Tower Hamlets,236,24,10.20%,6.90%,14.70%,,195,56,28.70%,22.80%,35.40%,,,,,,,,,
E02006854,Tower Hamlets 033,E09000030,Tower Hamlets,74,6,8.10%,3.80%,16.60%,,79,14,17.70%,10.90%,27.60%,,,,,,,,,
E02000895,Waltham Forest 001,E09000031,Waltham Forest,269,28,10.40%,7.30%,14.60%,,234,48,20.50%,15.80%,26.10%,,,,,,,,,
E02000896,Waltham Forest 002,E09000031,Waltham Forest,254,19,7.50%,4.80%,11.40%,,227,37,16.30%,12.10%,21.70%,,,,,,,,,
E02000897,Waltham Forest 003,E09000031,Waltham Forest,288,25,8.70%,5.90%,12.50%,,269,50,18.60%,14.40%,23.70%,,,,,,,,,
E02000898,Waltham Forest 004,E09000031,Waltham Forest,238,25,10.50%,7.20%,15.00%,,258,41,15.90%,11.90%,20.80%,,,,,,,,,
E02000899,Waltham Forest 005,E09000031,Waltham Forest,282,31,11.00%,7.90%,15.20%,,214,47,22.00%,16.90%,28.00%,,,,,,,,,
E02000900,Waltham Forest 006,E09000031,Waltham Forest,346,39,11.30%,8.40%,15.00%,,308,82,26.60%,22.00%,31.80%,,,,,,,,,
E02000901,Waltham Forest 007,E09000031,Waltham Forest,328,19,5.80%,3.70%,8.90%,,350,62,17.70%,14.10%,22.10%,,,,,,,,,
E02000902,Waltham Forest 008,E09000031,Waltham Forest,353,31,8.80%,6.30%,12.20%,,291,75,25.80%,21.10%,31.10%,,,,,,,,,
E02000903,Waltham Forest 009,E09000031,Waltham Forest,396,47,11.90%,9.00%,15.40%,,401,106,26.40%,22.40%,31.00%,,,,,,,,,
E02000904,Waltham Forest 010,E09000031,Waltham Forest,355,39,11.00%,8.10%,14.70%,,282,53,18.80%,14.70%,23.80%,,,,,,,,,
E02000905,Waltham Forest 011,E09000031,Waltham Forest,396,42,10.60%,7.90%,14.00%,,327,78,23.90%,19.60%,28.80%,,,,,,,,,
E02000906,Waltham Forest 012,E09000031,Waltham Forest,485,44,9.10%,6.80%,12.00%,,337,81,24.00%,19.80%,28.90%,,,,,,,,,
E02000907,Waltham Forest 013,E09000031,Waltham Forest,470,59,12.60%,9.90%,15.90%,,383,107,27.90%,23.70%,32.60%,,,,,,,,,
E02000908,Waltham Forest 014,E09000031,Waltham Forest,448,42,9.40%,7.00%,12.40%,,321,76,23.70%,19.40%,28.60%,,,,,,,,,
E02000909,Waltham Forest 015,E09000031,Waltham Forest,408,38,9.30%,6.90%,12.50%,,245,53,21.60%,16.90%,27.20%,,,,,,,,,
E02000910,Waltham Forest 016,E09000031,Waltham Forest,423,44,10.40%,7.80%,13.70%,,294,68,23.10%,18.70%,28.30%,,,,,,,,,
E02000911,Waltham Forest 017,E09000031,Waltham Forest,485,64,13.20%,10.50%,16.50%,,307,76,24.80%,20.30%,29.90%,,,,,,,,,
E02000912,Waltham Forest 018,E09000031,Waltham Forest,385,31,8.10%,5.70%,11.20%,,334,88,26.30%,21.90%,31.30%,,,,,,,,,
E02000913,Waltham Forest 019,E09000031,Waltham Forest,317,25,7.90%,5.40%,11.40%,,252,55,21.80%,17.20%,27.30%,,,,,,,,,
E02000914,Waltham Forest 020,E09000031,Waltham Forest,453,53,11.70%,9.10%,15.00%,,353,96,27.20%,22.80%,32.10%,,,,,,,,,
E02000915,Waltham Forest 021,E09000031,Waltham Forest,245,19,7.80%,5.00%,11.80%,,198,35,17.70%,13.00%,23.60%,,,,,,,,,
E02000916,Waltham Forest 022,E09000031,Waltham Forest,448,56,12.50%,9.80%,15.90%,,305,66,21.60%,17.40%,26.60%,,,,,,,,,
E02000917,Waltham Forest 023,E09000031,Waltham Forest,384,55,14.30%,11.20%,18.20%,,223,53,23.80%,18.70%,29.80%,,,,,,,,,
E02000918,Waltham Forest 024,E09000031,Waltham Forest,311,35,11.30%,8.20%,15.20%,,239,50,20.90%,16.20%,26.50%,,,,,,,,,
E02000919,Waltham Forest 025,E09000031,Waltham Forest,302,35,11.60%,8.50%,15.70%,,200,64,32.00%,25.90%,38.80%,,,,,,,,,
E02000920,Waltham Forest 026,E09000031,Waltham Forest,372,48,12.90%,9.90%,16.70%,,293,70,23.90%,19.40%,29.10%,,,,,,,,,
E02000921,Waltham Forest 027,E09000031,Waltham Forest,420,48,11.40%,8.70%,14.80%,,377,95,25.20%,21.10%,29.80%,,,,,,,,,
E02000922,Waltham Forest 028,E09000031,Waltham Forest,435,48,11.00%,8.40%,14.30%,,299,70,23.40%,19.00%,28.50%,,,,,,,,,
E02000923,Wandsworth 001,E09000032,Wandsworth,89,s,s,s,s,,82,21,25.60%,17.40%,36.00%,,,,,,,,,
E02000924,Wandsworth 002,E09000032,Wandsworth,319,38,11.90%,8.80%,15.90%,,225,58,25.80%,20.50%,31.90%,,,,,,,,,
E02000925,Wandsworth 003,E09000032,Wandsworth,253,30,11.90%,8.40%,16.40%,,222,56,25.20%,20.00%,31.30%,,,,,,,,,
E02000926,Wandsworth 004,E09000032,Wandsworth,144,23,16.00%,10.90%,22.80%,,115,31,27.00%,19.70%,35.70%,,,,,,,,,
E02000927,Wandsworth 005,E09000032,Wandsworth,132,15,11.40%,7.00%,17.90%,,101,27,26.70%,19.10%,36.10%,,,,,,,,,
E02000928,Wandsworth 006,E09000032,Wandsworth,225,13,5.80%,3.40%,9.60%,,123,18,14.60%,9.50%,21.90%,,,,,,,,,
E02000929,Wandsworth 007,E09000032,Wandsworth,276,38,13.80%,10.20%,18.30%,,238,63,26.50%,21.30%,32.40%,,,,,,,,,
E02000930,Wandsworth 008,E09000032,Wandsworth,143,15,10.50%,6.50%,16.60%,,81,18,22.20%,14.50%,32.40%,,,,,,,,,
E02000931,Wandsworth 009,E09000032,Wandsworth,246,6,2.40%,1.10%,5.20%,,86,12,14.00%,8.20%,22.80%,,,,,,,,,
E02000932,Wandsworth 010,E09000032,Wandsworth,169,s,s,s,s,,78,11,14.10%,8.10%,23.50%,,,,,,,,,
E02000933,Wandsworth 011,E09000032,Wandsworth,141,9,6.40%,3.40%,11.70%,,115,22,19.10%,13.00%,27.30%,,,,,,,,,
E02000934,Wandsworth 012,E09000032,Wandsworth,117,10,8.50%,4.70%,15.00%,,82,16,19.50%,12.40%,29.40%,,,,,,,,,
E02000935,Wandsworth 013,E09000032,Wandsworth,293,36,12.30%,9.00%,16.50%,,188,46,24.50%,18.90%,31.10%,,,,,,,,,
E02000936,Wandsworth 014,E09000032,Wandsworth,120,13,10.80%,6.40%,17.70%,,104,20,19.20%,12.80%,27.80%,,,,,,,,,
E02000937,Wandsworth 015,E09000032,Wandsworth,237,10,4.20%,2.30%,7.60%,,132,13,9.80%,5.80%,16.10%,,,,,,,,,
E02000938,Wandsworth 016,E09000032,Wandsworth,308,44,14.30%,10.80%,18.60%,,233,50,21.50%,16.70%,27.20%,,,,,,,,,
E02000939,Wandsworth 017,E09000032,Wandsworth,177,7,4.00%,1.90%,7.90%,,121,7,5.80%,2.80%,11.50%,,,,,,,,,
E02000940,Wandsworth 018,E09000032,Wandsworth,270,33,12.20%,8.80%,16.70%,,194,47,24.20%,18.70%,30.70%,,,,,,,,,
E02000941,Wandsworth 019,E09000032,Wandsworth,294,23,7.80%,5.30%,11.50%,,143,20,14.00%,9.20%,20.60%,,,,,,,,,
E02000942,Wandsworth 020,E09000032,Wandsworth,278,13,4.70%,2.80%,7.80%,,191,15,7.90%,4.80%,12.60%,,,,,,,,,
E02000943,Wandsworth 021,E09000032,Wandsworth,155,6,3.90%,1.80%,8.20%,,95,22,23.20%,15.80%,32.60%,,,,,,,,,
E02000944,Wandsworth 022,E09000032,Wandsworth,242,28,11.60%,8.10%,16.20%,,223,54,24.20%,19.10%,30.20%,,,,,,,,,
E02000945,Wandsworth 023,E09000032,Wandsworth,212,23,10.80%,7.30%,15.80%,,212,42,19.80%,15.00%,25.70%,,,,,,,,,
E02000946,Wandsworth 024,E09000032,Wandsworth,180,19,10.60%,6.90%,15.90%,,158,39,24.70%,18.60%,32.00%,,,,,,,,,
E02000947,Wandsworth 025,E09000032,Wandsworth,242,9,3.70%,2.00%,6.90%,,141,17,12.10%,7.70%,18.50%,,,,,,,,,
E02000948,Wandsworth 026,E09000032,Wandsworth,191,15,7.90%,4.80%,12.60%,,140,23,16.40%,11.20%,23.40%,,,,,,,,,
E02000949,Wandsworth 027,E09000032,Wandsworth,146,6,4.10%,1.90%,8.70%,,94,16,17.00%,10.80%,25.90%,,,,,,,,,
E02000950,Wandsworth 028,E09000032,Wandsworth,194,15,7.70%,4.70%,12.40%,,165,33,20.00%,14.60%,26.80%,,,,,,,,,
E02000951,Wandsworth 029,E09000032,Wandsworth,115,8,7.00%,3.60%,13.10%,,109,19,17.40%,11.50%,25.60%,,,,,,,,,
E02000952,Wandsworth 030,E09000032,Wandsworth,105,10,9.50%,5.30%,16.60%,,85,17,20.00%,12.90%,29.70%,,,,,,,,,
E02000953,Wandsworth 031,E09000032,Wandsworth,207,20,9.70%,6.30%,14.50%,,92,21,22.80%,15.40%,32.40%,,,,,,,,,
E02000954,Wandsworth 032,E09000032,Wandsworth,189,24,12.70%,8.70%,18.20%,,171,35,20.50%,15.10%,27.10%,,,,,,,,,
E02000955,Wandsworth 033,E09000032,Wandsworth,271,22,8.10%,5.40%,12.00%,,203,45,22.20%,17.00%,28.40%,,,,,,,,,
E02000956,Wandsworth 034,E09000032,Wandsworth,247,29,11.70%,8.30%,16.40%,,180,40,22.20%,16.80%,28.80%,,,,,,,,,
E02000957,Wandsworth 035,E09000032,Wandsworth,372,41,11.00%,8.20%,14.60%,,244,48,19.70%,15.20%,25.10%,,,,,,,,,
E02000958,Wandsworth 036,E09000032,Wandsworth,321,26,8.10%,5.60%,11.60%,,311,51,16.40%,12.70%,20.90%,,,,,,,,,
E02000959,Wandsworth 037,E09000032,Wandsworth,301,37,12.30%,9.10%,16.50%,,204,47,23.00%,17.80%,29.30%,,,,,,,,,
E02000960,Westminster 001,E09000033,Westminster,73,s,s,s,s,,51,8,15.70%,8.20%,28.00%,,,,,,,,,
