MSOA code,MSOA name,LA code,LA name,reception sample size,reception obesity number,reception obesity prevalence(%),lower CI,upper CI,,year 6 sample size ,year 6 obesity number,year 6 obesity prevalence,lower CI 2,upper CI 2,,,,,,,all,suburban,urban
E02000128,Bromley 002,E09000006,Bromley,281,18,6.40%,4.10%,9.90%,,222,33,14.90%,10.80%,20.10%,,,,,,,,,
E02000130,Bromley 004,E09000006,Bromley,254,17,6.70%,4.20%,10.50%,,204,43,21.10%,16.00%,27.20%,,,,,,,,,
E02000131,Bromley 005,E09000006,Bromley,289,18,6.20%,4.00%,9.60%,,185,45,24.30%,18.70%,31.00%,,,,,,,,,
E02000132,Bromley 006,E09000006,Bromley,222,24,10.80%,7.40%,15.60%,,112,18,16.10%,10.40%,24.00%,,,,,,,,,
E02000133,Bromley 007,E09000006,Bromley,215,12,5.60%,3.20%,9.50%,,155,21,13.50%,9.00%,19.80%,,,,,,,,,
E02000134,Bromley 008,E09000006,Bromley,341,24,7.00%,4.80%,10.30%,,190,23,12.10%,8.20%,17.50%,,,,,,,,,
E02000135,Bromley 009,E09000006,Bromley,390,61,15.60%,12.40%,19.60%,,312,87,27.90%,23.20%,33.10%,,,,,,,,,
E02000136,Bromley 010,E09000006,Bromley,142,14,9.90%,6.00%,15.90%,,133,21,15.80%,10.60%,22.90%,,,,,,,,,
E02000137,Bromley 011,E09000006,Bromley,207,12,5.80%,3.30%,9.90%,,118,15,12.70%,7.90%,19.90%,,,,,,,,,
E02000138,Bromley 012,E09000006,Bromley,175,12,6.90%,4.00%,11.60%,,107,12,11.20%,6.50%,18.60%,,,,,,,,,
E02000139,Bromley 013,E09000006,Bromley,274,16,5.80%,3.60%,9.30%,,170,25,14.70%,10.20%,20.80%,,,,,,,,,
E02000140,Bromley 014,E09000006,Bromley,365,37,10.10%,7.40%,13.70%,,328,69,21.00%,17.00%,25.80%,,,,,,,,,
E02000141,Bromley 015,E09000006,Bromley,254,24,9.40%,6.40%,13.70%,,182,40,22.00%,16.60%,28.50%,,,,,,,,,
E02000142,Bromley 016,E09000006,Bromley,273,17,6.20%,3.90%,9.70%,,227,26,11.50%,7.90%,16.30%,,,,,,,,,
E02000144,Bromley 018,E09000006,Bromley,282,15,5.30%,3.20%,8.60%,,183,34,18.60%,13.60%,24.80%,,,,,,,,,
E02000145,Bromley 019,E09000006,Bromley,410,35,8.50%,6.20%,11.60%,,300,73,24.30%,19.80%,29.50%,,,,,,,,,
E02000146,Bromley 020,E09000006,Bromley,350,24,6.90%,4.70%,10.00%,,229,41,17.90%,13.50%,23.40%,,,,,,,,,
E02000147,Bromley 021,E09000006,Bromley,216,8,3.70%,1.90%,7.10%,,262,29,11.10%,7.80%,15.40%,,,,,,,,,
E02000148,Bromley 022,E09000006,Bromley,179,14,7.80%,4.70%,12.70%,,165,18,10.90%,7.00%,16.60%,,,,,,,,,
E02000149,Bromley 023,E09000006,Bromley,311,21,6.80%,4.50%,10.10%,,259,50,19.30%,15.00%,24.50%,,,,,,,,,
E02000150,Bromley 024,E09000006,Bromley,252,12,4.80%,2.70%,8.10%,,297,41,13.80%,10.30%,18.20%,,,,,,,,,
E02000151,Bromley 025,E09000006,Bromley,285,17,6.00%,3.80%,9.30%,,153,14,9.20%,5.50%,14.80%,,,,,,,,,
E02000152,Bromley 026,E09000006,Bromley,260,30,11.50%,8.20%,16.00%,,240,35,14.60%,10.70%,19.60%,,,,,,,,,
E02000153,Bromley 027,E09000006,Bromley,286,21,7.30%,4.90%,11.00%,,311,34,10.90%,7.90%,14.90%,,,,,,,,,
E02000154,Bromley 028,E09000006,Bromley,248,17,6.90%,4.30%,10.70%,,196,22,11.20%,7.50%,16.40%,,,,,,,,,
E02000155,Bromley 029,E09000006,Bromley,159,17,10.70%,6.80%,16.50%,,180,34,18.90%,13.80%,25.20%,,,,,,,,,
E02000156,Bromley 030,E09000006,Bromley,390,27,6.90%,4.80%,9.90%,,366,49,13.40%,10.30%,17.30%,,,,,,,,,
E02000157,Bromley 031,E09000006,Bromley,222,9,4.10%,2.10%,7.50%,,278,37,13.30%,9.80%,17.80%,,,,,,,,,
E02000158,Bromley 032,E09000006,Bromley,296,28,9.50%,6.60%,13.30%,,267,56,21.00%,16.50%,26.30%,,,,,,,,,
E02000159,Bromley 033,E09000006,Bromley,166,16,9.60%,6.00%,15.10%,,203,38,18.70%,14.00%,24.60%,,,,,,,,,
E02000160,Bromley 034,E09000006,Bromley,255,20,7.80%,5.10%,11.80%,,304,32,10.50%,7.60%,14.50%,,,,,,,,,
E02000161,Bromley 035,E09000006,Bromley,301,15,5.00%,3.00%,8.10%,,276,31,11.20%,8.00%,15.50%,,,,,,,,,
E02000162,Bromley 036,E09000006,Bromley,222,13,5.90%,3.50%,9.80%,,210,38,18.10%,13.50%,23.90%,,,,,,,,,
E02000163,Bromley 037,E09000006,Bromley,236,8,3.40%,1.70%,6.50%,,221,27,12.20%,8.50%,17.20%,,,,,,,,,
E02000165,Bromley 039,E09000006,Bromley,275,24,8.70%,5.90%,12.70%,,235,31,13.20%,9.50%,18.10%,,,,,,,,,
E02006782,Bromley 040,E09000006,Bromley,269,31,11.50%,8.20%,15.90%,,233,40,17.20%,12.90%,22.50%,,,,,,,,,
E02006787,Bromley 041,E09000006,Bromley,368,28,7.60%,5.30%,10.80%,,212,32,15.10%,10.90%,20.50%,,,,,,,,,
E02006789,Bromley 042,E09000006,Bromley,187,16,8.60%,5.30%,13.40%,,167,24,14.40%,9.90%,20.50%,,,,,,,,,
